	A1-F	A2-F	A3-F	A4-F	A5-AD	A6-AD	A7-AD	A8-AD	E8-AD	L1-AD	L2-AD	L3-AD	L4-AD	L5-AD	L6-AD	S1-F	S2-F	S3-F	S4-F	S5-AD	S6-AD	S7-AD	S8-AD
L2-AD	0.4784283476378912	0.4972781229409599	0.47820202434545983	0.4800874093053977	0.5136924591677896	0.5278454905759711	0.5738444126049431	0.5745339953466007	0.5795444346080684	0.6401678431731206	1.0	0.6736650413026906	0.6693533504199454	0.6594683331767935	0.6300120740254361	0.5088449385386797	0.5074038650278431	0.5192232390092176	0.5120046530419329	0.5555879038338711	0.5491540071108665	0.633337547627881	0.6281948427380581
L3-AD	0.48739514480096024	0.5068555691638805	0.48741877360004643	0.4884764881987583	0.5219759124339759	0.5386771477407628	0.5847018541584027	0.5862807051340371	0.5922314954863596	0.6515995445239603	0.6736650413026906	1.0	0.6862457726476223	0.6778826672579467	0.6444030420885982	0.518444434793607	0.5169202313040384	0.5307394706731438	0.5212824445412417	0.5662919691875316	0.5602188140803328	0.6468950405107678	0.6423352123619714
L4-AD	0.4877871672030627	0.5085100428398295	0.488619854874768	0.48872210965008483	0.5233920244465845	0.5377966746973467	0.5803465284864516	0.5910831997787085	0.5975465804859437	0.6474398364812021	0.6693533504199454	0.6862457726476223	1.0	0.6775124539323987	0.645525933892388	0.5191349695381541	0.5173280347447681	0.5307657200469688	0.5224041537631895	0.5674063141928222	0.5602760736800325	0.6393338205563787	0.6465846425817448
L5-AD	0.48045920649368706	0.5002766194682648	0.4807521754521063	0.4824539947761291	0.5165927565810654	0.5320795939941974	0.5728128578298216	0.5856037573039103	0.5910516922945088	0.6378644064498535	0.6594683331767935	0.6778826672579467	0.6775124539323987	1.0	0.6473233445828879	0.5103624682456044	0.5088519066807431	0.5220653618809561	0.51368030257324	0.5584150057328685	0.5520840821467113	0.6308072988986135	0.6386505113596112
L6-AD	0.4624883987799146	0.48150852982806647	0.46284168124756636	0.4640253464886229	0.4988448654436397	0.5116024264492312	0.5512135350908772	0.5639251144767887	0.5660824279689533	0.6105211906914286	0.6300120740254361	0.6444030420885982	0.645525933892388	0.6473233445828879	1.0	0.49098585920714405	0.4915695585524265	0.5016683236477208	0.4942610094286665	0.5377746669693042	0.53059154652009	0.6045321264700311	0.6158572897941978
S1-F	0.6535334299353717	0.5193652526610272	0.5127442025730328	0.5034602111240596	0.4771219158931651	0.49117023245651126	0.47099461265182996	0.4692217813919671	0.47968557672655066	0.4954079094299515	0.5088449385386797	0.518444434793607	0.5191349695381541	0.5103624682456044	0.49098585920714405	1.0	0.5503619773779811	0.5627200708182657	0.5495197732361082	0.5156265157402434	0.5166090549171549	0.5096906862263695	0.5094986674184618
S2-F	0.5064836189744452	0.6254871822185607	0.49832313957590546	0.493103930033889	0.47633949669153924	0.4870237391418475	0.4658966981454772	0.46575240216472863	0.47556317538548454	0.49532804336212694	0.5074038650278431	0.5169202313040384	0.5173280347447681	0.5088519066807431	0.4915695585524265	0.5503619773779811	1.0	0.5487322386609906	0.5407650948294707	0.5150695492147369	0.5112054946884989	0.5053077318290502	0.508549899132854
S3-F	0.5190147313987599	0.5184078352052701	0.659124907530933	0.5084617103441342	0.4861067614890003	0.4943336190102315	0.47520840399847386	0.4801301756427226	0.49015525608723637	0.5049866677127419	0.5192232390092176	0.5307394706731438	0.5307657200469688	0.5220653618809561	0.5016683236477208	0.5627200708182657	0.5487322386609906	1.0	0.5547250361006539	0.5281680130845673	0.521406825787821	0.5167575196936445	0.5243969421086596
S4-F	0.5082600010542303	0.511964198548765	0.5046469307870579	0.6254660835738951	0.4786455335864002	0.4915888624077933	0.47066894736850484	0.46670319953919587	0.4796365721758363	0.4993900488643346	0.5120046530419329	0.5212824445412417	0.5224041537631895	0.51368030257324	0.4942610094286665	0.5495197732361082	0.5407650948294707	0.5547250361006539	1.0	0.5219051604079293	0.5177787629705358	0.5112614164157292	0.5087878261319506
S5-AD	0.48394151960651305	0.5031780714755899	0.48663647899588264	0.48768834344529094	0.6424304285213969	0.5285743826642786	0.5026249304601003	0.5159918190023699	0.5178053094757645	0.540722483153316	0.5555879038338711	0.5662919691875316	0.5674063141928222	0.5584150057328685	0.5377746669693042	0.5156265157402434	0.5150695492147369	0.5281680130845673	0.5219051604079293	1.0	0.5539691153438582	0.5465940963999957	0.5586266541819895
S6-AD	0.4855549279774051	0.5101685169226154	0.4841447715360613	0.4907435720716955	0.5109297819741415	0.6681344249773261	0.5173219837408295	0.5077967754673961	0.5025621779310465	0.5341341069642532	0.5491540071108665	0.5602188140803328	0.5602760736800325	0.5520840821467113	0.53059154652009	0.5166090549171549	0.5112054946884989	0.521406825787821	0.5177787629705358	0.5539691153438582	1.0	0.5601346910379275	0.5392528413877874
S7-AD	0.4745569951954808	0.4947582851628206	0.4745801863933099	0.480399490781699	0.5050710183038886	0.5299909024822308	0.660460328542079	0.4945135988765185	0.48947887056588124	0.6114520456532242	0.633337547627881	0.6468950405107678	0.6393338205563787	0.6308072988986135	0.6045321264700311	0.5096906862263695	0.5053077318290502	0.5167575196936445	0.5112614164157292	0.5465940963999957	0.5601346910379275	1.0	0.5322520497105282
S8-AD	0.4773715487965132	0.4959888278509989	0.48085413246088576	0.4762455046729275	0.5142282269362211	0.5167314571784601	0.4906506506744034	0.648572826695827	0.6551164838763107	0.6105672572223829	0.6281948427380581	0.6423352123619714	0.6465846425817448	0.6386505113596112	0.6158572897941978	0.5094986674184618	0.508549899132854	0.5243969421086596	0.5087878261319506	0.5586266541819895	0.5392528413877874	0.5322520497105282	1.0
